Start Time		End Time
05-Aug-2012 04:13:12	05-Aug-2012 04:14:04
16-Sep-2012 23:15:35	16-Sep-2012 23:16:23
17-Sep-2012 05:30:31	17-Sep-2012 05:31:20
05-Nov-2012 15:14:01	05-Nov-2012 15:14:43
13-Nov-2012 08:35:17	13-Nov-2012 08:35:55
19-Nov-2012 03:48:56	19-Nov-2012 03:49:32
04-Dec-2012 15:15:32	04-Dec-2012 15:16:18
12-Dec-2012 14:48:34	12-Dec-2012 14:49:20
13-Dec-2012 19:05:57	13-Dec-2012 19:06:39
25-Dec-2012 16:46:14	25-Dec-2012 16:46:53
07-Jan-2013 00:51:45	07-Jan-2013 00:52:33
09-Feb-2013 09:58:07	09-Feb-2013 09:58:49
03-Mar-2013 04:59:44	03-Mar-2013 05:00:26
20-Apr-2013 06:47:21	20-Apr-2013 06:48:08
19-May-2013 09:26:28	19-May-2013 09:27:22
20-May-2013 10:59:27	20-May-2013 11:00:17
03-Jun-2013 14:13:00	03-Jun-2013 14:13:46
22-Jun-2013 17:04:12	22-Jun-2013 17:04:57
10-Aug-2013 18:55:38	10-Aug-2013 18:56:23
08-Sep-2013 08:15:36	08-Sep-2013 08:16:11
08-Sep-2013 08:26:05	08-Sep-2013 08:26:44
08-Sep-2013 09:04:54	08-Sep-2013 09:05:41
08-Sep-2013 12:08:43	08-Sep-2013 12:09:28
16-Sep-2013 16:42:57	16-Sep-2013 16:43:41
17-Sep-2013 01:51:50	17-Sep-2013 01:52:34
20-Sep-2013 02:15:05	20-Sep-2013 02:15:49
20-Sep-2013 12:42:37	20-Sep-2013 12:43:22
04-Oct-2013 17:33:45	04-Oct-2013 17:34:29
10-Dec-2013 03:32:55	10-Dec-2013 03:33:39
03-Jan-2014 19:58:35	03-Jan-2014 19:59:17
20-Jan-2014 00:39:09	20-Jan-2014 00:40:01
21-Jan-2014 09:15:29	21-Jan-2014 09:16:12
22-Jan-2014 07:49:19	22-Jan-2014 07:50:02
22-Jan-2014 08:19:27	22-Jan-2014 08:20:09
22-Jan-2014 18:40:38	22-Jan-2014 18:41:21
